Wavelength_nm,Parans 54m,Parans 25m,Fluorescent lamp FL5,Cool white LED,Warm white LED,Daylight through glass,Unfiltered daylight
546,0.99539397,0.997349148,0.6322378,0.5888926,0.7111112,0.9497835428,0.987861
547,0.9923568890000001,0.994534033,0.5829246,0.5936312,0.7152014,0.9503277446,0.987283
548,0.9939195359999999,0.995428979,0.5336114000000001,0.5983698,0.7192916,0.9508719464,0.9867049999999999
549,0.9967738890000001,0.9981761229999999,0.4842982,0.6031084,0.7233818,0.9514161482,0.986127
550,0.9971645509999999,0.998142138,0.434985,0.607847,0.727472,0.95196035,0.985549
551,0.99848776,0.999003098,0.418989,0.6145534,0.7315414,0.9478332264,0.985838
552,0.997359882,0.997598373,0.402993,0.6212598,0.7356108,0.9437061028,0.986127
553,0.997611921,0.9979155690000001,0.38699700000000004,0.6279662,0.7396802,0.9395789792,0.9864160000000001
554,1.0,1.0,0.371001,0.6346726,0.7437496,0.9354518556,0.986705
555,0.9950033079999999,0.9946246609999999,0.355005,0.641379,0.747819,0.931324732,0.986994
556,0.9874673140000001,0.987289504,0.358587,0.6490638,0.7516378,0.9271976084,0.9825142
557,0.977215589,0.976561482,0.362169,0.6567486,0.7554566,0.9230704848,0.9780344000000001
558,0.959213635,0.959183673,0.365751,0.6644334,0.7592753999999999,0.9189433612000001,0.9735546
559,0.9586087390000001,0.958107473,0.369333,0.6721182,0.7630942,0.9148162376000001,0.9690748000000001
560,0.9581550679999999,0.9569689659999999,0.372915,0.6798029999999999,0.766913,0.9106891140000001,0.9645950000000001
561,0.961860055,0.960763989,0.3757118,0.6881997999999999,0.770419,0.9082557917,0.9660402
562,0.96940235,0.96745909,0.3785086,0.6965965999999999,0.773925,0.9058224694,0.9674854
563,0.9679090140000001,0.966269605,0.3813054,0.7049934,0.777431,0.9033891471000001,0.9689306
564,0.964519076,0.9625142309999999,0.3841022,0.7133902,0.780937,0.9009558248,0.9703758
565,0.956775149,0.9546976159999999,0.386899,0.721787,0.784443,0.8985225025,0.9718209999999999
566,0.955136889,0.95236396,0.3885182,0.7315142,0.7878028,0.8960891802,0.9692198
567,0.95085221,0.9477589540000001,0.39013739999999997,0.7412413999999999,0.7911626,0.8936558578999999,0.9666186
568,0.945332535,0.94169258,0.3917566,0.7509686,0.7945224,0.8912225356,0.9640173999999999
569,0.9375318990000001,0.933983585,0.3933758,0.7606957999999999,0.7978822,0.8887892132999999,0.9614161999999999
570,0.931256104,0.927735957,0.394995,0.770423,0.801242,0.8863558909999999,0.958815
571,0.93066381,0.926807026,0.4069676,0.780542,0.8037618,0.8849082194999999,0.96026
572,0.9375508020000001,0.932935706,0.4189402,0.790661,0.8062816,0.883460548,0.961705
573,0.9407832140000001,0.935898089,0.4309128,0.80078,0.8088014,0.8820128764999999,0.96315
574,0.939567121,0.9345669990000001,0.4428854,0.810899,0.8113212000000001,0.8805652049999999,0.964595
575,0.928660093,0.923510453,0.454858,0.821018,0.813841,0.8791175334999999,0.96604
576,0.92416118,0.9191943220000001,0.4595684,0.8302626000000001,0.8160686,0.8776698619999999,0.9664736
577,0.920097035,0.9149801470000001,0.4642788,0.8395072,0.8182962,0.8762221904999999,0.9669072
578,0.917759365,0.9121197190000001,0.46898920000000005,0.8487518000000001,0.8205238000000001,0.8747745189999999,0.9673408
579,0.918005104,0.912992008,0.47369960000000005,0.8579964,0.8227514000000001,0.8733268475,0.9677743999999999
580,0.921873917,0.916900315,0.47841000000000006,0.867241,0.8249790000000001,0.871879176,0.968208
581,0.926776094,0.9215223140000001,0.4582432000000001,0.874858,0.8267320000000001,0.8644451316999999,0.9723988
582,0.934614536,0.9291690029999999,0.43807640000000003,0.882475,0.8284850000000001,0.8570110874,0.9765896000000001
